commit,branch1,branch2,merge,rework,wasted,extra,merge_commits_count,files_edited_b1,files_edited_b2,files_edited_intersection,files_edited_union,files_add_b1,files_add_b2,files_add_intersection,files_add_union,files_rm_b1,files_rm_b2,files_rm_intersection,files_rm_union,files_changed_b1,files_changed_b2,files_changed_intersection,files_changed_union,lines_add_b1,lines_add_b2,lines_add_intersection,lines_add_union,lines_rm_b1,lines_rm_b2,lines_rm_intersection,lines_rm_union,lines_changed_b1,lines_changed_b2,lines_changed_intersection,lines_changed_union,commits_b1,commits_b2,commits_total,authors_b1,authors_b2,authors_intersection,authors_union,committers_b1,committers_b2,committers_intersection,committers_union,time_total,time_min_total,time_max_total,time_min_branch,time_max_branch,merge_type,project_commits,developer_commits_in_window_of_time,developer_commits_until_merge,developer_no_merges_in_window_of_time,developer_no_merges_until_merge,developer_merges_in_window_of_time,developer_merges_until_merge,project
7358b473fd7e83a0351542bc8a82b0cfc25db5ff,6,1,7,0,0,0,72,2,1,0,3,0,0,0,0,0,0,0,0,2,1,0,3,3,1,0,4,3,0,0,3,6,1,0,7,1,1,2,1,1,0,2,1,1,0,2,103561,87555,103201,-15646,15646,workspace,6820,0,4305,0,3942,0,363,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
b5d3b4f6089eac5320f08911e435a626f90a389d,204,5,209,0,0,0,73,6,2,0,8,4,0,0,4,3,0,0,3,13,2,0,15,58,2,0,60,146,3,0,149,204,5,0,209,2,1,3,1,1,0,2,1,1,0,2,46965,32183,45795,-13419,13612,workspace,6139,0,3720,0,3419,0,301,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
00db1e873706bee47cd49b88ac4eca04c7de8119,11,94,105,0,0,0,75,1,15,0,16,0,0,0,0,0,0,0,0,1,15,0,16,11,50,0,61,0,44,0,44,11,94,0,105,1,11,12,1,1,0,2,1,1,0,2,21650,12354,21477,0,18117,workspace,9643,0,6327,0,5760,0,567,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
a0424d2f8292f5530fe6f2c80b83ba300489615b,122,6,128,0,0,0,76,3,1,0,4,1,0,0,1,0,0,0,0,4,1,0,5,122,3,0,125,0,3,0,3,122,6,0,128,15,1,16,1,1,1,1,1,1,1,1,128450,126242,128396,-2154,22073,branch,2935,49,1244,46,1209,3,35,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
8c181b528a4172ae2c852a68be5bfb97a64dcc25,588,10,598,0,0,0,78,3,2,0,5,1,0,0,1,0,0,0,0,4,2,0,6,588,5,0,593,0,5,0,5,588,10,0,598,2,1,3,1,1,1,1,1,1,1,1,43921,40510,43898,-3388,43844,branch,2938,51,1247,47,1211,4,36,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
d9751f91c43ad96becb6aaf2f5abcd9c0b37754c,1740,151,1891,0,0,0,79,6,2,0,8,5,0,0,5,0,0,0,0,11,2,0,13,1697,97,0,1794,43,54,0,97,1740,149,0,1889,9,1,10,2,1,1,2,2,1,1,2,115702,95445,114975,-10147,19530,workspace,5107,92,3101,73,2945,19,156,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
defcb5b6b1114a7618913ebdf49856cec23e3f96,15854,15,15868,1,0,0,81,136,2,2,136,138,0,0,138,8,0,0,8,282,2,2,282,13387,11,1,13397,2467,4,0,2471,15752,15,1,15766,710,1,711,46,1,0,47,45,1,0,46,25036323,477569,24883519,-377005,24405950,workspace,6233,0,3799,0,3491,0,308,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
761e1edc30a3a61b5e50eea6b1e4bc51aaa1bc24,551,12,563,0,0,0,83,31,1,0,32,3,0,0,3,0,0,0,0,34,1,0,35,398,6,0,404,153,6,0,159,549,12,0,561,40,1,41,4,1,0,5,4,1,0,5,1373353,1317707,1329434,-11727,912791,workspace,6279,0,3838,0,3525,0,313,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
017d44af1de0cb037f95b57ec306cd6b9dd9c3fe,161,59,220,0,0,0,84,4,2,0,6,0,0,0,0,0,0,0,0,4,2,0,6,97,36,0,133,64,23,0,87,161,59,0,220,7,2,9,3,1,0,4,3,1,0,4,255740,139712,203512,65308,177899,branch,5433,169,3283,119,3074,50,209,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
17f71002ae099fe1bbd4ffda4a979bb6c5bab9e1,25,58,83,0,0,0,86,4,5,0,9,0,0,0,0,0,0,0,0,4,5,0,9,21,43,0,64,4,15,0,19,25,57,0,82,3,4,7,1,1,0,2,1,1,0,2,116718,26223,89651,19356,85682,workspace,5412,179,3274,128,3070,51,204,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
087f8757b5b82d33187993721a345ee669606228,325,482,807,0,0,0,87,6,1,0,7,1,0,0,1,0,0,0,0,7,1,0,8,258,275,0,533,67,207,0,274,323,452,0,775,13,3,16,1,1,0,2,1,1,0,2,201853,79626,198775,3433,134938,workspace,6367,0,3914,0,3592,0,322,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
b5782456506d585f4fbc7fd59556f29430c172b8,9,646,655,0,0,0,88,2,2,0,4,0,0,0,0,0,0,0,0,2,2,0,4,4,305,0,309,5,341,0,346,9,642,0,651,2,1,3,1,1,0,2,1,1,0,2,122546,73281,110214,-36933,77456,workspace,5361,165,3243,117,3044,48,199,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
ee4e8632253c72e15ea38b0f60a8ef54aa9c5d09,37,521,558,0,0,0,90,5,4,0,9,0,2,0,2,0,0,0,0,5,6,0,11,23,515,0,538,14,6,0,20,37,521,0,558,4,3,7,2,1,0,3,2,1,0,3,364673,168070,338495,4321,177994,workspace,6960,0,4407,0,4028,0,379,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
43c1978faebe17add5541b0a8e025b2e8d5c511a,1540,23,1563,0,0,0,91,39,2,1,40,6,0,0,6,2,0,0,2,47,2,1,48,1278,21,0,1299,262,2,0,264,1533,23,0,1556,66,1,67,13,1,0,14,12,1,0,13,4362928,274927,3778732,-46846,3503805,workspace,5558,0,3356,0,3127,0,229,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
1ba8066f67d1f8624e679e28fd800e6ade2a9511,2,4589,4591,0,0,0,93,1,59,1,59,0,1,0,1,0,45,0,45,1,105,1,105,1,1839,0,1840,1,2750,0,2751,2,4584,0,4586,1,150,151,1,10,0,11,1,10,0,11,8189402,8061763,8104407,-42644,8068877,branch,4478,2,2,1,1,1,1,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
9be826f9dff48d4397174e502d8e485e45533c60,1498,67,1565,0,1,1,94,18,8,1,25,0,0,0,0,0,0,0,0,18,8,1,25,751,44,0,795,747,23,0,770,1496,67,0,1563,11,10,21,1,2,1,2,1,2,1,2,427796,423038,427631,259028,274590,branch,3456,163,1737,160,1686,3,51,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
a3295f57d56dd60cb92c29228b5783b5eb098cf9,77,4,81,0,0,0,95,4,1,0,5,0,0,0,0,0,0,0,0,4,1,0,5,47,2,0,49,30,2,0,32,77,4,0,81,6,1,7,1,1,0,2,1,1,0,2,55228,11019,54982,0,54841,workspace,6316,0,3869,0,3550,0,319,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
