commit,wasted
5064f9b2d22b9d28734bf19d825d20292a3b0fd9,3
e523f0d2fbe9ec285e724cae86eff844678ed9f1,2
87dbb3cb1effdd72f09fa658cc2a71f0615213fa,33
551a43fd3dfe24beed12961050b58aa0c0379b4c,1245
a59cc6060fb2961fcc0cab8909c82f45366cc9af,5
610795796257ff63e6a5ac0473b183de461a72d4,17
315ea069e8aeb78dde23836827bd51462208aa7a,5
16d456742e596cdf5ac870d44ea2b4f308ddebdc,7
fb9956256d19b9f8f79de43099d2b5fc851bcf08,7
972fe7714fb57385d14e4d776f70e0040d3a8f7e,74
7660a8b12f358f0d7cc7caf5d363a955617252e5,10
9e82be1503551ff8a8e46dc06e70e1f0aee00051,440
12300758ccbe7d45c6149d56772133ae1bc5cb25,4
4cc223b4785c9da39c4a35d2adb7339dfa8e47e6,32
c6b2f765d3f62393818db44a41ab0d438f68cea6,9
6a6e6bda5713ccc6da9ca977321a1fcc6d38a1c1,23
870b2aaf5d1398704f69a5b1a8be30de522b284c,3
ee0314c3b3c60ab398e4ff1c802af7297fe27587,10
cd1521cfdb3c9dd2bf8ced8907afbbbf33893804,27
f466ee44bc65779f6bb9c1ba488a87edfc9b28a3,7
4f8fe58b2579b6040bb9a7d1fcf9adc19843a97b,93
ec43a51b386b920bb660f13f688386273c87cbba,3
d54b10b6ad25ebf29f8ca7f438131ed6a9af24ab,3
d98caa0fa0e502203289431502722b74ba367ddb,39
905c720e5ee57f97db7955b799f0cd2262a2487c,2
b8bf04a085162478a64ca5d7be15d1af2f6a930e,10
8a36fd09ddedf632e9eae8a8044597ea3f7532d7,2
46cb980a5f5ba55f341b8bcce4f0d1e5213989d3,4
bc81ce040ded3fe791ecffb15baa408346afc92a,23
3b4c4c7f4d0d6e45a1acb0baf0d9416a8997b686,59
dbc3c86ae37b815e0c4e2431bc218cb79fa1a4be,6
4f39e79c23b32a411a0d5fdc86b5c17ab2250f8d,10
2e1bbc4e7ec13717f235e5ba9c136dd711eb603c,7
5a378a1945b962c7432aae2ed84811211899a82f,400
acaf99cb3aa6710de7af9da2c73d797fa2d1351b,2
f33662c133d628d51718dec070a9096888330c58,5
d76e1f90a84755e9e68a27c9fda59f2175a73819,9
44032bc476be9f334d17db3b8963a8deb973123c,15
4ca273edc4b19894675e96fb62b3afb04ce77a37,3
aa2b89d98d6d195a38e36c1947d437ab7346e5c9,15
cd28d9c14732a91416589bb3dc523533495240e8,4
d3277a0daf300ce2bb074e1a779300c1d811bfc5,34
604fad9c39763012d97b404941f7ba7137ec2eed,12
8ddbd531a4112239a2fd63591b8184b438768a0c,245
a4adeb255c66bbbb8eb7f4abcfd2b4c63906be31,12
f8d245bdfc703eefa4fd34795739a1a851031f5b,1
ff9ebfabb47e3439c7b78cb4e3c33423a1467a9a,2
0e5b2adb5c4f2ab1bba275bb3cb2dc2643828f4f,3
45ff8f413d9959b7f464176cd20dc56db3f711af,6
5cc725a0e3ef523affae8ff54dd74707e49d64e3,2
7c4b7a53b1b588c1d0d3e00e99d4d7c53dc1da3d,1
ba9338f104ccc71d4f342a3f96624a9b36895f48,23
df413e996fb7a4d7e05698e21d130387cf771811,3
f66a28c1ca7d0820ee4f772bfef301e2a2322f66,840
a4e12af7aa7324653b7c65fc3c1c0454333520bf,3
728665d34b2722740cc4989aff5279ae702d632e,943
c0498f9265e32ba82bcf48bf0df0f29c6cfea587,50
603af51bb5257744ce0db28e7f10db6a2ba899ec,29
1107b4d55b9d5845ebf49fb2eef8cde55095982a,261
b4ceed40d6e511a1d475b3f4fbcdd2ad24c02b5a,124
f1d206c6b4c0a5b2517b05af05fdda6049e2f7c2,7033
8c0d668468f068203e4aedaacd7ddd17b931a514,22
13368818af52cf7265156b4eb6bc635e1448b09b,116
6ad8540b40d8c6eef00cd5b6e2305eed949e1ef3,2
0bd20c63e2ed3ca8e3577c2805678d9d34218ffd,11
bffee929ab854e569a328c7925b5adea60cc36e9,5
ff127cfcd3d5aab45c059d11bff7c43d3d08ad38,5
ebaa8f6519c34b6b8fd10dae4c79fc56f2b5aae6,4
eac566a7f4a053fedd677fb067e29d98ce9e6e35,773
711575391df632627cd9eb91d84d5b6f0d4db6f2,3
2e8f2ee4adbe078a690dbadfa1dbd74fdc824d89,3
8512dd3225a3ce9c38608a319d7f85fdf75798b4,31
2aceae25be0562726a24b1b9e596e975f764cf30,1
836042bb9f1eebabb7eeede3222fa389648c23da,170
7c33f76291eda2144fe16e48e261cb62cdadb7f6,2
96a6ff0b09f276fb38656bb753592b1deeff5dd1,182
c5cee53f2092ee2825095a1831ca47f1c41afc2f,7
b829fba749e1eaa595a5887de0ee8b5aeaab6a47,3
b430d2359d01a11268e66664aaac167f334c8bfc,6
6ded4819994afcf97b79f180f541f83cb42eff2f,1
23947945913cafb4f6549167c53a3cdd4a09fef0,4
980afd280a331103ce7391adaf484dd497218741,214
d2f46ac6803f07d6ce340d9b24c8fc90e403d0a6,8
999eaac78cc3724dba2b99bbfd8b381999a587c5,5
94871e4703d8566359a405da58c60f411b14857a,5
1ffadb2d9e87169ccc406cd34dab6bd7beda70f1,3
0913c2297158a12656648b0a4b2023ae587da3b4,22
0d2e5c3e24ec081d9ff5dfcdb770482b491292e6,1
d50ccc5ca9f9f0fa6418c88e7fbfb4a87b1a0e68,27
c06945cfe0717006ae0d44da797a4fbb1a48954d,37
3bf7c708d3206b2144aa464b03cef36f6046e0be,2
e93b391d75a1c2e17ad93caff39e8fc34d640935,3
de41c436a0088efc83bc4705dcd279e61b085759,6
84849baf88d31cfaaeee158a947c4db1abe94ce6,12
ec193c7d896ce7553f8678d8c484c5821ce6a62a,24
afe4fe7f5ed9e5b82b641e72bbfc14f2d952c3be,3
5670c96f29f9f5ea929f802b0f4e6460cd2c54af,194
b0113290404205fad3d227923cc83dbefdd00202,69
0f2e3c6e31d56c627ff81cdc93289a7c7cb2ec16,420
9df66cd831e3d2d8ff3ebd4fcb540a9eb43b32e4,3
8f11c36fe17c2718c895b771b59a9138521e0079,12
1cb3eb9762439caea10fe817d9c69c01c3c8fb06,6
1490d09b5d3953152ed62a11232983bef4ca1627,7
1be335e8faef078733bf946fe7fb44300eb66783,10850
863a55ae42c2b9c0583b77cf37ff13bd2459f82b,400
cf8f5de61b74c05b53d6d6de12aaa580e9bba3c7,3
0fe2fc4d5e1b3c3cb32052a43d227bdaf29dd488,192
43e66146f72a61b8b05b3f39d924ffba1f643706,6
89f8e1c2e7e6d6ff2c596a7e9bbfe550f735532b,3
0269792c1767aef664fa3d7b6bd25f332b1f6bfb,2
0008994044ca0d40facc489cbcd0371a66e7630f,4
2bfd7931e83b2b1017a2cad9206a568a0cee12a2,28
bae8a9796816cde998b04aff9b4cddaff2864b17,2
96670e71679dedc2857d430a018f5b9505946bdd,41
1f7fcb48be05ad4935df6f62bc44dd0af026d705,17393
9b568d37f7ed7f57b9046ea1e3291634cddfe746,276
d0c795836476ff0188fd655f18e568bd6ae00d49,4
ef706ae9594f5fdefbe657d70ca28ae961ac980c,1
3b1f5480a498b78a85193879c1f1910de8a336f6,2572
1f19fbb8db96135efc79fe56fcd96f1f02598b86,2
1b29e90a7914155565d09e6c3477ad265969df00,3
a60620b76a98e236f1e4ffda7a2f289e7917b957,20
3e4d5e5f8b61429c4e683a37d4d17737d75ca509,10
3d4672eaa9ebda0a2510a84087bb5bc6d15fc99c,23
5b011d18d7fa1b312012574e2fac0e513c33ebd1,21
984c5824876e0daceb8a74af57593926faf727ce,24
4106ae9fbf8a582697deba2198b3b966dec00bfe,7043
383e151fd7138cc6a143b3a38037cc3038c2a8b9,9
e2d25d2dfeb1d43d1e36f169250d8efef4ac232a,16
c7b2788948193bc1320600d857f91cb07ef5ccc3,1
